Student ID,Student Name,Fees Status,Amount Paid,Amount Due,Due Date
ST001,John Smith,Complete,50000,0,2025-01-15
ST002,Sarah Johnson,Partial,30000,20000,2025-01-15
ST003,Michael Brown,Due,0,50000,2025-01-15
ST004,Emily Davis,Complete,50000,0,2025-01-15
ST005,David Wilson,Overdue,25000,25000,2024-12-15
ST006,Lisa Anderson,Complete,50000,0,2025-01-15
ST007,Robert Taylor,Due,0,50000,2025-01-15
ST008,Jennifer White,Complete,50000,0,2025-01-15
ST009,Christopher Lee,Partial,40000,10000,2025-01-15
ST010,Amanda Garcia,Due,0,50000,2025-01-15
